Time,Open,High,Low,Last,Change,%Chg,Volume,Difference
10-Oct-19,11280.5,11293.35,11208.55,11234.55,-78.75,-0.70%,0,-0.290767253
11-Oct-19,11257.7,11362.9,11189.4,11305.05,70.5,0.63%,0,0.205637031
14-Oct-19,11335.9,11420.45,11290.05,11341.15,36.1,0.32%,0,0.27214425
15-Oct-19,11360.85,11462.35,11342.1,11428.3,87.15,0.77%,0,0.173402518
16-Oct-19,11464.95,11481.05,11411.1,11464,35.7,0.31%,0,0.319669951
17-Oct-19,11466.3,11599.1,11439.65,11586.35,122.35,1.07%,0,0.020058781
18-Oct-19,11580.3,11684.7,11553.15,11661.85,75.5,0.65%,0,-0.052243897
22-Oct-19,11657.15,11714.35,11573.65,11588.35,-73.5,-0.63%,0,-0.040318603
23-Oct-19,11596.2,11651.6,11554.4,11604.1,15.75,0.14%,0,0.06769459
24-Oct-19,11661.65,11679.6,11534.65,11582.6,-21.5,-0.19%,0,0.493497918
25-Oct-19,11646.15,11646.9,11490.75,11583.9,1.3,0.01%,0,0.545673892
29-Oct-19,11643.95,11809.4,11627.35,11786.85,202.95,1.75%,0,0.515718463
30-Oct-19,11883.9,11883.95,11784.45,11844.1,57.25,0.49%,0,0.816651099
31-Oct-19,11890.45,11945,11855.1,11877.45,33.35,0.28%,0,0.389808628
01-Nov-19,11886.6,11918.3,11843.35,11890.6,13.15,0.11%,0,0.076977437
04-Nov-19,11928.9,11989.15,11905.35,11941.3,50.7,0.43%,0,0.321069
05-Nov-19,11974.6,11978.95,11861.9,11917.2,-24.1,-0.20%,0,0.278088621
06-Nov-19,11911.5,12002.9,11850.25,11966.05,48.85,0.41%,0,-0.047852915
07-Nov-19,12021.1,12021.4,11946.85,12012.05,46,0.38%,0,0.45794478
08-Nov-19,11987.15,12034.15,11888.75,11908.15,-103.9,-0.86%,0,-0.207722436
11-Nov-19,11879.2,11932.65,11853.95,11913.45,5.3,0.04%,0,-0.24370328
13-Nov-19,11908.3,11946.8,11823.2,11840.45,-73,-0.61%,0,-0.043247147
14-Nov-19,11858.75,11895.65,11802.65,11872.1,31.65,0.27%,0,0.154316433
15-Nov-19,11904.2,11973.65,11879.25,11895.45,23.35,0.20%,0,0.269652728
18-Nov-19,11915.15,11946.2,11867.6,11884.5,-10.95,-0.09%,0,0.165335728
19-Nov-19,11919.45,11958.85,11881.75,11940.1,55.6,0.47%,0,0.293218227
20-Nov-19,12004.75,12038.6,11966.05,11999.1,59,0.49%,0,0.538536829
21-Nov-19,12025.65,12028.2,11956.9,11968.4,-30.7,-0.26%,0,0.220778087
22-Nov-19,11967.3,11968.1,11883.5,11914.4,-54,-0.45%,0,-0.009191714
25-Nov-19,11922.45,12084.5,11919.75,12073.75,159.35,1.34%,0,0.067519679
26-Nov-19,12110.2,12132.45,12006.35,12037.7,-36.05,-0.30%,0,0.300985946
27-Nov-19,12068.5,12114.9,12055.15,12100.7,63,0.52%,0,0.255209844
28-Nov-19,12132.1,12158.8,12099.95,12151.15,50.45,0.42%,0,0.258817517
29-Nov-19,12146.2,12147.4,12017.4,12056.05,-95.1,-0.78%,0,-0.040753487
02-Dec-19,12137.05,12137.15,12023.7,12048.2,-7.85,-0.07%,0,0.667377987
03-Dec-19,12067.65,12068.6,11956.4,11994.2,-54,-0.45%,0,0.161174711
04-Dec-19,11969.95,12054.7,11935.3,12043.2,49,0.41%,0,-0.202590654
05-Dec-19,12071.25,12081.2,11998.75,12018.4,-24.8,-0.21%,0,0.232370301
06-Dec-19,12047.35,12057.05,11888.85,11921.5,-96.9,-0.81%,0,0.240301809
09-Dec-19,11939.1,11981.95,11888.05,11937.5,16,0.13%,0,0.147414797
10-Dec-19,11950.5,11953.2,11844.7,11856.8,-80.7,-0.68%,0,0.108782059
11-Dec-19,11867.35,11923.2,11832.3,11910.15,53.35,0.45%,0,0.088899375
12-Dec-19,11944.3,12005.5,11934,11971.8,61.65,0.52%,0,0.285910434
13-Dec-19,12026.4,12098.85,12023.6,12086.7,114.9,0.96%,0,0.454001197
16-Dec-19,12131.35,12134.65,12046.3,12053.95,-32.75,-0.27%,0,0.368054668
17-Dec-19,12082.45,12182.75,12070.35,12165,111.05,0.92%,0,0.235879313
18-Dec-19,12197,12237.7,12163.45,12221.65,56.65,0.47%,0,0.262359597
19-Dec-19,12223.4,12268.35,12191.15,12259.7,38.05,0.31%,0,0.014316802
20-Dec-19,12266.45,12293.9,12252.75,12271.8,12.1,0.10%,0,0.055028146
23-Dec-19,12235.45,12287.15,12213.25,12262.75,-9.05,-0.07%,0,-0.297087561
24-Dec-19,12269.25,12283.7,12202.1,12214.55,-48.2,-0.39%,0,0.052977973
26-Dec-19,12211.85,12221.55,12118.85,12126.55,-88,-0.72%,0,-0.022109672
27-Dec-19,12172.9,12258.45,12157.9,12245.8,119.25,0.98%,0,0.380763828
30-Dec-19,12274.9,12286.45,12213.8,12255.85,10.05,0.08%,0,0.237069141
31-Dec-19,12247.1,12247.1,12151.8,12168.45,-87.4,-0.71%,0,-0.071445485
02-Jan-20,12198.55,12289.9,12195.25,12282.2,113.75,0.93%,0,0.246750638
03-Jan-20,12261.1,12265.6,12191.35,12226.65,-55.55,-0.45%,0,-0.172088964
06-Jan-20,12170.6,12179.1,11974.2,11993.05,-233.6,-1.91%,0,-0.460536046
07-Jan-20,12079.1,12152.15,12005.35,12052.95,59.9,0.50%,0,0.712387512
08-Jan-20,11939.1,12044.95,11929.6,12025.35,-27.6,-0.23%,0,-0.953589467
09-Jan-20,12153.15,12224.05,12132.55,12215.9,190.55,1.58%,0,1.05157922
10-Jan-20,12271,12311.2,12213.2,12256.8,40.9,0.33%,0,0.449026159
13-Jan-20,12296.7,12337.75,12285.8,12329.55,72.75,0.59%,0,0.324477299
14-Jan-20,12333.1,12374.25,12308.7,12362.3,32.75,0.27%,0,0.028784328
15-Jan-20,12349.4,12355.15,12278.75,12343.3,-19,-0.15%,0,-0.104458516
16-Jan-20,12347.1,12389.05,12315.8,12355.5,12.2,0.10%,0,0.030776458
17-Jan-20,12328.4,12385.45,12321.4,12352.35,-3.15,-0.03%,0,-0.219817657
20-Jan-20,12430.5,12430.5,12216.9,12224.55,-127.8,-1.03%,0,0.628695547
21-Jan-20,12195.3,12230.05,12162.3,12169.85,-54.7,-0.45%,0,-0.239846498
22-Jan-20,12218.35,12225.05,12087.9,12106.9,-62.95,-0.52%,0,0.396943941
23-Jan-20,12123.75,12189,12094.1,12180.35,73.45,0.61%,0,0.1389834
24-Jan-20,12174.55,12272.15,12149.65,12248.25,67.9,0.56%,0,-0.047640365
27-Jan-20,12197.1,12216.6,12107,12119,-129.25,-1.06%,0,-0.419361979
28-Jan-20,12148.1,12163.55,12024.5,12055.8,-63.2,-0.52%,0,0.239543632
29-Jan-20,12114.9,12169.6,12103.8,12129.5,73.7,0.61%,0,0.487829037
30-Jan-20,12147.75,12150.3,12010.6,12035.8,-93.7,-0.77%,0,0.150233582
31-Jan-20,12100.4,12103.55,11945.85,11962.1,-73.7,-0.61%,0,0.533866649
03-Feb-20,11627.45,11749.85,11614.5,11707.9,-254.2,-2.13%,0,-2.878103109
04-Feb-20,11786.25,11986.15,11783.4,11979.65,271.75,2.32%,0,0.664757663
05-Feb-20,12005.85,12098.15,11953.35,12089.15,109.5,0.91%,0,0.218226948
06-Feb-20,12120,12160.6,12084.65,12137.95,48.8,0.40%,0,0.254537954
07-Feb-20,12151.15,12154.7,12073.95,12098.35,-39.6,-0.33%,0,0.108631693
10-Feb-20,12102.35,12103.55,11990.75,12031.5,-66.85,-0.55%,0,0.033051432
11-Feb-20,12108.4,12172.3,12099,12107.9,76.4,0.63%,0,0.635096297
12-Feb-20,12151,12231.75,12144.3,12201.2,93.3,0.77%,0,0.354703317
13-Feb-20,12219.55,12225.65,12139.8,12174.65,-26.55,-0.22%,0,0.150169196
14-Feb-20,12190.15,12246.7,12091.2,12113.45,-61.2,-0.50%,0,0.12715184
17-Feb-20,12131.8,12159.6,12037,12045.8,-67.65,-0.56%,0,0.151255378
18-Feb-20,12028.25,12030.75,11908.05,11992.5,-53.3,-0.44%,0,-0.145906512
19-Feb-20,12090.6,12134.7,12042.1,12125.9,133.4,1.11%,0,0.811374125
20-Feb-20,12119,12152,12071.45,12080.85,-45.05,-0.37%,0,-0.056935391
24-Feb-20,12012.55,12012.55,11813.4,11829.4,-251.45,-2.08%,0,-0.568572035
25-Feb-20,11877.5,11883.05,11779.9,11797.9,-31.5,-0.27%,0,0.404967375
26-Feb-20,11738.55,11783.25,11639.6,11678.5,-119.4,-1.01%,0,-0.505599073
27-Feb-20,11661.25,11663.85,11536.7,11633.3,-45.2,-0.39%,0,-0.147925823
28-Feb-20,11382,11384.8,11175.05,11201.75,-431.55,-3.71%,0,-2.207872079
02-Mar-20,11387.35,11433,11036.25,11132.75,-69,-0.62%,0,1.629878769
03-Mar-20,11217.55,11342.25,11152.55,11303.3,170.55,1.53%,0,0.755958297
04-Mar-20,11351.35,11356.6,11082.15,11251,-52.3,-0.46%,0,0.423297669
05-Mar-20,11306.05,11389.5,11244.6,11269,18,0.16%,0,0.486907452
06-Mar-20,10942.65,11035.1,10827.4,10989.45,-279.55,-2.48%,0,-2.98236716
09-Mar-20,10742.05,10751.55,10294.45,10451.45,-538,-4.90%,0,-2.303098571
11-Mar-20,10334.3,10545.1,10334,10458.4,6.95,0.07%,0,-1.133603631
12-Mar-20,10039.95,10040.75,9508,9590.15,-868.25,-8.30%,0,-4.167849441
13-Mar-20,9107.6,10159.4,8555.15,9955.2,365.05,3.81%,0,-5.29832228
16-Mar-20,9587.8,9602.2,9165.1,9197.4,-757.8,-7.61%,0,-3.831953107
17-Mar-20,9285.4,9403.8,8915.6,8967.05,-230.35,-2.50%,0,0.947724385
